time,V(1),V(2),V(3),V(gate),I(C1),I(D1),I(L1),I(Rload),I(S1),I(Vgate),I(Vin),L1:flux,source_file,step,I(R1)
6.558459188789979e-07,12.0,0.0077957567,23.993443,5.0,-0.9997268,-1.0239857e-09,0.77957565,0.9997268,-0.77957565,0.0,-0.77957565,7.795745e-06,morecomplex,0,
6.658459188789979e-07,12.0,0.00791567,23.993343,5.0,-0.9997226,-1.0239855e-09,0.791567,0.9997226,-0.791567,0.0,-0.791567,7.915658e-06,morecomplex,0,
6.758459188789979e-07,12.0,0.0080355825,23.993242,5.0,-0.9997184,-1.0239852e-09,0.80355823,0.9997184,-0.80355823,0.0,-0.80355823,8.03557e-06,morecomplex,0,
6.858459188789979e-07,12.0,0.008155493,23.993143,5.0,-0.99971426,-1.0239851e-09,0.8155493,0.99971426,-0.8155493,0.0,-0.8155493,8.155482e-06,morecomplex,0,
6.95845918878998e-07,12.0,0.008275403,23.993042,5.0,-0.9997101,-1.0239847e-09,0.8275403,0.9997101,-0.8275403,0.0,-0.8275403,8.275391e-06,morecomplex,0,
7.05845918878998e-07,12.0,0.008395311,23.992943,5.0,-0.999706,-1.0239846e-09,0.8395311,0.999706,-0.8395311,0.0,-0.8395311,8.395299e-06,morecomplex,0,
7.15845918878998e-07,12.0,0.008515218,23.992842,5.0,-0.9997018,-1.0239843e-09,0.85152185,0.9997018,-0.85152185,0.0,-0.85152185,8.515206e-06,morecomplex,0,
7.25845918878998e-07,12.0,0.008635124,23.992743,5.0,-0.9996976,-1.0239842e-09,0.8635124,0.9996976,-0.8635124,0.0,-0.8635124,8.635112e-06,morecomplex,0,
7.35845918878998e-07,12.0,0.008755028,23.992643,5.0,-0.99969345,-1.0239839e-09,0.8755028,0.99969345,-0.8755028,0.0,-0.8755028,8.755016e-06,morecomplex,0,
7.45845918878998e-07,12.0,0.008874931,23.992542,5.0,-0.9996893,-1.0239839e-09,0.88749313,0.9996893,-0.88749313,0.0,-0.88749313,8.874919e-06,morecomplex,0,
